,Número fallecidos,Población,Tasa de mortalidad por 100.000 habitantes
edad 0 a 4,3,34415,8.717129158797036
edad 5 a 14,2,52715,3.7939865313478136
edad 15 a 44,66,213650,30.89164521413527
edad 45 a 64,262,115906,226.0452435594361
edad 65 a 84,580,57279,1012.5875102568132
edad 85 a 99,156,6507,2397.41816505302
edad 100 o más,1,331,302.11480362537765
